----Correspondence clerks,6,-,5,-,1,-
"----Court, municipal, and license clerks",58,738,10,-,48,-
"----Credit authorizers, checkers, and clerks",36,-,12,-,24,-
----Customer service representatives,1550,627,537,698,1014,606
"----Eligibility interviewers, government programs",66,783,14,-,52,766
----File clerks,160,610,29,-,130,613
"----Hotel, motel, and resort desk clerks",82,426,30,-,52,417
"----Interviewers, except eligibility and loan",124,636,27,-,97,620
"----Library assistants, clerical",41,-,7,-,33,-
----Loan interviewers and clerks,131,710,31,-,99,692
----New accounts clerks,25,-,4,-,21,-
----Order clerks,79,600,29,-,51,574
"----Human resources assistants, except payroll and timekeeping",91,754,11,-,80,711
----Receptionists and information clerks,910,540,85,616,825,532
----Reservation and transportation ticket agents and travel clerks,85,687,37,-,48,-
"----Information and record clerks, all other",75,660,17,-,59,658
----Cargo and freight agents,17,-,12,-,5,-
----Couriers and messengers,167,727,142,737,25,-
----Dispatchers,234,710,96,764,138,669
"----Meter readers, utilities",25,-,22,-,3,-
----Postal service clerks,98,978,43,-,56,935
----Postal service mail carriers,274,966,178,1025,95,851
"----Postal service mail sorters, processors, and processing machine operators",51,979,22,-,29,-
"----Production, planning, and expediting clerks",208,837,96,1024,111,738
"----Shipping, receiving, and traffic clerks",545,592,376,603,169,576
----Stock clerks and order fillers,995,508,658,504,337,514
"----Weighers, measurers, checkers, and samplers, recordkeeping",77,646,45,-,32,-
----Secretaries and administrative assistants,2342,691,126,811,2215,685
----Computer operators,72,764,34,-,37,-
----Data entry keyers,246,626,51,673,195,618
----Word processors and typists,77,622,14,-,63,629
----Desktop publishers,0,-,0,-,0,-
----Insurance claims and policy processing clerks,275,647,50,709,225,632
"----Mail clerks and mail machine operators, except postal service",61,567,28,-,33,-
"----Office clerks, general",888,630,135,662,753,626
"----Office machine operators, except computer",25,-,9,-,17,-
----Proofreaders and copy markers,4,-,1,-,4,-
----Statistical assistants,19,-,8,-,10,-
"----Office and administrative support workers, all other",410,731,114,878,296,692
,,,,,,
"Natural resources, construction, and maintenance occupations",10763,756,10346,764,417,509
"--Farming, fishing, and forestry occupations",776,429,625,457,151,375
"----First-line supervisors of farming, fishing, and forestry workers",23,-,19,-,5,-
----Agricultural inspectors,16,-,11,-,5,-
----Animal breeders,1,-,1,-,0,-
"----Graders and sorters, agricultural products",98,389,45,-,53,386
----Miscellaneous agricultural workers,569,421,485,437,84,369
----Fishers and related fishing workers,9,-,9,-,0,-
----Hunters and trappers,2,-,2,-,0,-
----Forest and conservation workers,13,-,12,-,2,-
----Logging workers,44,-,42,-,2,-
--Construction and extraction occupations,5756,756,5635,757,121,691
----First-line supervisors of construction trades and extraction workers,540,1027,528,1033,12,-
----Boilermakers,17,-,17,-,0,-
"----Brickmasons, blockmasons, and stonemasons",105,657,105,656,0,-
----Carpenters,801,696,786,699,15,-
"----Carpet, floor, and tile installers and finishers",94,683,92,687,2,-
"----Cement masons, concrete finishers, and terrazzo workers",41,-,41,-,0,-
----Construction laborers,1221,605,1199,605,22,-
"----Paving, surfacing, and tamping equipment operators",12,-,11,-,1,-
----Pile-driver operators,2,-,2,-,0,-
----Operating engineers and other construction equipment operators,310,864,305,862,6,-
"----Drywall installers, ceiling tile installers, and tapers",119,597,118,595,1,-
----Electricians,640,883,624,884,16,-
----Glaziers,28,-,27,-,0,-
----Insulation workers,41,-,38,-,3,-
"----Painters, construction and maintenance",358,563,342,562,16,-
----Paperhangers,2,-,2,-,0,-
"----Pipelayers, plumbers, pipefitters, and steamfitters",486,913,478,916,8,-
----Plasterers and stucco masons,22,-,22,-,0,-
----Reinforcing iron and rebar workers,8,-,8,-,0,-
----Roofers,136,618,135,620,1,-
----Sheet metal workers,113,868,111,857,2,-
----Structural iron and steel workers,47,-,47,-,0,-
----Solar photovoltaic installers,12,-,12,-,0,-
"----Helpers, construction trades",51,513,48,-,2,-
----Construction and building inspectors,59,1031,54,1028,5,-
----Elevator installers and repairers,21,-,21,-,0,-
----Fence erectors,31,-,31,-,0,-
----Hazardous materials removal workers,22,-,21,-,1,-
----Highway maintenance workers,116,794,115,794,1,-
----Rail-track laying and maintenance equipment operators,16,-,16,-,0,-
----Septic tank servicers and sewer pipe cleaners,13,-,13,-,0,-
----Miscellaneous construction and related workers,19,-,17,-,2,-
"----Derrick, rotary drill, and service unit operators, oil, gas, and mining",53,1187,53,1187,0,-
"----Earth drillers, except oil and gas",25,-,25,-,0,-
"----Explosives workers, ordnance handling experts, and blasters",6,-,6,-,0,-
----Mining machine operators,59,1042,59,1047,1,-
"----Roof bolters, mining",4,-,4,-,0,-
"----Roustabouts, oil and gas",11,-,11,-,1,-
----Helpers--extraction workers,8,-,8,-,0,-
----Other extraction workers,86,1120,85,1126,1,-
"--Installation, maintenance, and repair occupations",4231,821,4085,824,146,725
"----First-line supervisors of mechanics, installers, and repairers",289,1022,272,1040,17,-
"----Computer, automated teller, and office machine repairers",232,880,201,889,31,-
----Radio and telecommunications equipment installers and repairers,118,859,109,846,9,-
----Avionics technicians,8,-,7,-,1,-
"----Electric motor, power tool, and related repairers",25,-,25,-,0,-
"----Electrical and electronics installers and repairers, transportation equipment",4,-,4,-,0,-
"----Electrical and electronics repairers, industrial and utility",20,-,20,-,0,-
"----Electronic equipment installers and repairers, motor vehicles",18,-,18,-,0,-
----Electronic home entertainment equipment installers and repairers,23,-,23,-,0,-
----Security and fire alarm systems installers,45,-,43,-,3,-
----Aircraft mechanics and service technicians,121,1080,117,1062,4,-
----Automotive body and related repairers,109,665,106,668,3,-
----Automotive glass installers and repairers,17,-,17,-,0,-
----Automotive service technicians and mechanics,722,734,706,737,16,-
----Bus and truck mechanics and diesel engine specialists,285,813,283,811,2,-
----Heavy vehicle and mobile equipment service technicians and mechanics,210,885,209,886,1,-
----Small engine mechanics,38,-,37,-,1,-
"----Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",64,559,64,559,0,-
----Control and valve installers and repairers,21,-,21,-,0,-
"----Heating, air conditioning, and refrigeration mechanics and installers",322,769,318,773,3,-
----Home appliance repairers,32,-,32,-,0,-
----Industrial and refractory machinery mechanics,409,876,398,876,11,-
"----Maintenance and repair workers, general",403,813,391,812,12,-
"----Maintenance workers, machinery",32,-,30,-,2,-
----Millwrights,49,-,49,-,1,-
----Electrical power-line installers and repairers,108,1013,105,1018,4,-
----Telecommunications line installers and repairers,170,869,163,877,7,-
----Precision instrument and equipment repairers,68,818,60,836,8,-
----Wind turbine service technicians,5,-,4,-,1,-
"----Coin, vending, and amusement machine servicers and repairers",32,-,28,-,4,-
----Commercial divers,2,-,2,-,0,-
----Locksmiths and safe repairers,19,-,19,-,0,-
----Manufactured building and mobile home installers,0,-,0,-,0,-
----Riggers,14,-,14,-,0,-
----Signal and track switch repairers,8,-,8,-,0,-
"----Helpers--installation, maintenance, and repair workers",12,-,12,-,0,-
"----Other installation, maintenance, and repair workers",177,804,170,811,6,-
,,,,,,
"Production, transportation, and material moving occupations",14326,642,11474,689,2852,504
--Production occupations,7481,646,5546,711,1935,502
----First-line supervisors of production and operating workers,766,903,631,942,134,659
"----Aircraft structure, surfaces, rigging, and systems assemblers",16,-,12,-,4,-
"----Electrical, electronics, and electromechanical assemblers",159,547,91,598,68,506
----Engine and other machine assemblers,9,-,6,-,3,-
----Structural metal fabricators and fitters,24,-,24,-,0,-
----Miscellaneous assemblers and fabricators,926,592,589,633,337,506
----Bakers,148,492,64,518,84,469
"----Butchers and other meat, poultry, and fish processing workers",287,512,217,537,70,457
"----Food and tobacco roasting, baking, and drying machine operators and tenders",5,-,1,-,4,-
----Food batchmakers,82,473,38,-,44,-
----Food cooking machine operators and tenders,11,-,4,-,7,-
"----Food processing workers, all other",110,637,80,651,30,-
----Computer control programmers and operators,79,759,73,790,6,-
"----Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,-,12,-,1,-
"----Forging machine setters, operators, and tenders, metal and plastic",5,-,4,-,1,-
"----Rolling machine setters, operators, and tenders, metal and plastic",9,-,6,-,3,-
"----Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",83,620,63,663,20,-
"----Drilling and boring machine tool setters, operators, and tenders, metal and plastic",2,-,2,-,0,-
