Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Manufactured building and mobile home installers,manufactured-building-and-mobile-home-installers,installation-maintenance-and-repair-occupations,1,-,1,-,0,-,2021
Riggers,riggers,installation-maintenance-and-repair-occupations,7,-,7,-,0,-,2021
"Helpers--installation, maintenance, and repair workers",helpers-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,18,-,16,-,2,-,2021
"Other installation, maintenance, and repair workers",other-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,140,830,129,845,12,-,2021
"Production, transportation, and material moving occupations",production-transportation-and-material-moving-occupations,,"15,590",774,"12,056",825,"3,535",638,2021
Production occupations,production-occupations,production-transportation-and-material-moving-occupations,"7,107",809,"5,251",884,"1,856",653,2021
First-line supervisors of production and operating workers,first-line-supervisors-of-production-and-operating-workers,production-occupations,738,"1,080",601,"1,138",137,796,2021
"Aircraft structure, surfaces, rigging, and systems assemblers",aircraft-structure-surfaces-rigging-and-systems-assemblers,production-occupations,8,-,6,-,2,-,2021
"Electrical, electronics, and electromechanical assemblers",electrical-electronics-and-electromechanical-assemblers,production-occupations,111,745,71,767,40,-,2021
Engine and other machine assemblers,engine-and-other-machine-assemblers,production-occupations,6,-,5,-,1,-,2021
Structural metal fabricators and fitters,structural-metal-fabricators-and-fitters,production-occupations,14,-,12,-,2,-,2021
Other assemblers and fabricators,other-assemblers-and-fabricators,production-occupations,894,710,579,751,315,664,2021
Bakers,bakers,production-occupations,143,614,57,664,86,599,2021
"Butchers and other meat, poultry, and fish processing workers",butchers-and-other-meat-poultry-and-fish-processing-workers,production-occupations,236,718,189,742,47,-,2021
"Food and tobacco roasting, baking, and drying machine operators and tenders",food-and-tobacco-roasting-baking-and-drying-machine-operators-and-tenders,production-occupations,10,-,8,-,2,-,2021
Food batchmakers,food-batchmakers,production-occupations,67,669,45,-,22,-,2021
Food cooking machine operators and tenders,food-cooking-machine-operators-and-tenders,production-occupations,7,-,6,-,2,-,2021
"Food processing workers, all other",food-processing-workers-all-other,production-occupations,136,734,84,818,52,648,2021
Computer numerically controlled tool operators and programmers,computer-numerically-controlled-tool-operators-and-programmers,production-occupations,83,"1,036",79,"1,036",5,-,2021
"Forming machine setters, operators, and tenders, metal and plastic",forming-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,23,-,21,-,2,-,2021
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,63,746,44,-,19,-,2021
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",grinding-lapping-polishing-and-buffing-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,26,-,22,-,4,-,2021
"Other machine tool setters, operators, and tenders, metal and plastic",other-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,7,-,7,-,0,-,2021
Machinists,machinists,production-occupations,295,914,284,916,10,-,2021
"Metal furnace operators, tenders, pourers, and casters",metal-furnace-operators-tenders-pourers-and-casters,production-occupations,17,-,17,-,0,-,2021
"Model makers and patternmakers, metal and plastic",model-makers-and-patternmakers-metal-and-plastic,production-occupations,2,-,2,-,0,-,2021
"Molders and molding machine setters, operators, and tenders, metal and plastic",molders-and-molding-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,34,-,28,-,7,-,2021
Tool and die makers,tool-and-die-makers,production-occupations,44,-,43,-,1,-,2021
"Welding, soldering, and brazing workers",welding-soldering-and-brazing-workers,production-occupations,506,904,482,907,24,-,2021
Other metal workers and plastic workers,other-metal-workers-and-plastic-workers,production-occupations,340,769,276,783,64,731,2021
Prepress technicians and workers,prepress-technicians-and-workers,production-occupations,13,-,10,-,3,-,2021
Printing press operators,printing-press-operators,production-occupations,130,839,111,869,19,-,2021
Print binding and finishing workers,print-binding-and-finishing-workers,production-occupations,6,-,6,-,0,-,2021
Laundry and dry-cleaning workers,laundry-and-dry-cleaning-workers,production-occupations,88,511,29,-,59,492,2021
"Pressers, textile, garment, and related materials",pressers-textile-garment-and-related-materials,production-occupations,13,-,9,-,4,-,2021
Sewing machine operators,sewing-machine-operators,production-occupations,94,572,27,-,67,560,2021
Shoe and leather workers,shoe-and-leather-workers,production-occupations,11,-,7,-,3,-,2021
"Tailors, dressmakers, and sewers",tailors-dressmakers-and-sewers,production-occupations,25,-,4,-,20,-,2021
"Textile machine setters, operators, and tenders",textile-machine-setters-operators-and-tenders,production-occupations,6,-,4,-,2,-,2021
Upholsterers,upholsterers,production-occupations,17,-,11,-,6,-,2021
"Other textile, apparel, and furnishings workers",other-textile-apparel-and-furnishings-workers,production-occupations,9,-,3,-,6,-,2021
Cabinetmakers and bench carpenters,cabinetmakers-and-bench-carpenters,production-occupations,57,788,53,782,3,-,2021
Furniture finishers,furniture-finishers,production-occupations,6,-,4,-,2,-,2021
"Sawing machine setters, operators, and tenders, wood",sawing-machine-setters-operators-and-tenders-wood,production-occupations,18,-,16,-,2,-,2021
"Woodworking machine setters, operators, and tenders, except sawing",woodworking-machine-setters-operators-and-tenders-except-sawing,production-occupations,15,-,12,-,2,-,2021
Other woodworkers,other-woodworkers,production-occupations,12,-,10,-,1,-,2021
"Power plant operators, distributors, and dispatchers",power-plant-operators-distributors-and-dispatchers,production-occupations,34,-,34,-,0,-,2021
Stationary engineers and boiler operators,stationary-engineers-and-boiler-operators,production-occupations,64,"1,184",57,"1,175",7,-,2021
Water and wastewater treatment plant and system operators,water-and-wastewater-treatment-plant-and-system-operators,production-occupations,94,960,86,965,8,-,2021
Miscellaneous plant and system operators,miscellaneous-plant-and-system-operators,production-occupations,32,-,32,-,0,-,2021
"Chemical processing machine setters, operators, and tenders",chemical-processing-machine-setters-operators-and-tenders,production-occupations,65,969,53,979,12,-,2021
"Crushing, grinding, polishing, mixing, and blending workers",crushing-grinding-polishing-mixing-and-blending-workers,production-occupations,69,838,59,856,9,-,2021
Cutting workers,cutting-workers,production-occupations,51,775,43,-,8,-,2021
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",extruding-forming-pressing-and-compacting-machine-setters-operators-and-tenders,production-occupations,24,-,17,-,7,-,2021
"Furnace, kiln, oven, drier, and kettle operators and tenders",furnace-kiln-oven-drier-and-kettle-operators-and-tenders,production-occupations,10,-,5,-,4,-,2021
"Inspectors, testers, sorters, samplers, and weighers",inspectors-testers-sorters-samplers-and-weighers,production-occupations,750,883,466,"1,005",283,733,2021
Jewelers and precious stone and metal workers,jewelers-and-precious-stone-and-metal-workers,production-occupations,21,-,13,-,7,-,2021
Dental and ophthalmic laboratory technicians and medical appliance technicians,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,production-occupations,50,692,22,-,28,-,2021
Packaging and filling machine operators and tenders,packaging-and-filling-machine-operators-and-tenders,production-occupations,251,671,133,755,118,605,2021
Painting workers,painting-workers,production-occupations,134,822,124,893,10,-,2021
Photographic process workers and processing machine operators,photographic-process-workers-and-processing-machine-operators,production-occupations,21,-,12,-,10,-,2021
Adhesive bonding machine operators and tenders,adhesive-bonding-machine-operators-and-tenders,production-occupations,14,-,11,-,3,-,2021
Etchers and engravers,etchers-and-engravers,production-occupations,1,-,1,-,1,-,2021
"Molders, shapers, and casters, except metal and plastic",molders-shapers-and-casters-except-metal-and-plastic,production-occupations,17,-,15,-,3,-,2021
"Paper goods machine setters, operators, and tenders",paper-goods-machine-setters-operators-and-tenders,production-occupations,8,-,5,-,3,-,2021
Tire builders,tire-builders,production-occupations,8,-,8,-,0,-,2021
Helpers--production workers,helpers-production-workers,production-occupations,32,-,22,-,10,-,2021
Other production equipment operators and tenders,other-production-equipment-operators-and-tenders,production-occupations,5,-,4,-,1,-,2021
Other production workers,other-production-workers,production-occupations,"1,022",761,742,809,280,630,2021
Transportation and material moving occupations,transportation-and-material-moving-occupations,production-transportation-and-material-moving-occupations,"8,483",738,"6,804",786,"1,679",624,2021
Supervisors of transportation and material moving workers,supervisors-of-transportation-and-material-moving-workers,transportation-and-material-moving-occupations,310,996,241,"1,077",68,779,2021
Aircraft pilots and flight engineers,aircraft-pilots-and-flight-engineers,transportation-and-material-moving-occupations,115,"1,913",113,"1,912",2,-,2021
Air traffic controllers and airfield operations specialists,air-traffic-controllers-and-airfield-operations-specialists,transportation-and-material-moving-occupations,28,-,28,-,0,-,2021
Flight attendants,flight-attendants,transportation-and-material-moving-occupations,77,859,30,-,47,-,2021
"Ambulance drivers and attendants, except emergency medical technicians",ambulance-drivers-and-attendants-except-emergency-medical-technicians,transportation-and-material-moving-occupations,6,-,5,-,0,-,2021
"Bus drivers, school",bus-drivers-school,transportation-and-material-moving-occupations,125,710,57,712,69,695,2021
"Bus drivers, transit and intercity",bus-drivers-transit-and-intercity,transportation-and-material-moving-occupations,182,801,111,942,71,679,2021
Driver/sales workers and truck drivers,driver-sales-workers-and-truck-drivers,transportation-and-material-moving-occupations,"2,680",920,"2,499",933,181,732,2021
Shuttle drivers and chauffeurs,shuttle-drivers-and-chauffeurs,transportation-and-material-moving-occupations,29,-,27,-,2,-,2021
Taxi drivers,taxi-drivers,transportation-and-material-moving-occupations,148,678,138,690,10,-,2021
"Motor vehicle operators, all other",motor-vehicle-operators-all-other,transportation-and-material-moving-occupations,94,723,80,745,15,-,2021
Locomotive engineers and operators,locomotive-engineers-and-operators,transportation-and-material-moving-occupations,41,-,38,-,3,-,2021
Railroad conductors and yardmasters,railroad-conductors-and-yardmasters,transportation-and-material-moving-occupations,38,-,37,-,1,-,2021
Other rail transportation workers,other-rail-transportation-workers,transportation-and-material-moving-occupations,13,-,10,-,3,-,2021
Sailors and marine oilers,sailors-and-marine-oilers,transportation-and-material-moving-occupations,17,-,17,-,0,-,2021
Ship and boat captains and operators,ship-and-boat-captains-and-operators,transportation-and-material-moving-occupations,17,-,17,-,0,-,2021
Ship engineers,ship-engineers,transportation-and-material-moving-occupations,2,-,2,-,0,-,2021
Parking attendants,parking-attendants,transportation-and-material-moving-occupations,47,-,40,-,7,-,2021
Transportation service attendants,transportation-service-attendants,transportation-and-material-moving-occupations,70,630,67,629,3,-,2021
Transportation inspectors,transportation-inspectors,transportation-and-material-moving-occupations,34,-,27,-,7,-,2021
Passenger attendants,passenger-attendants,transportation-and-material-moving-occupations,6,-,5,-,1,-,2021
Other transportation workers,other-transportation-workers,transportation-and-material-moving-occupations,28,-,23,-,5,-,2021
Crane and tower operators,crane-and-tower-operators,transportation-and-material-moving-occupations,53,"1,047",53,"1,047",0,-,2021
"Conveyor, dredge, and hoist and winch operators",conveyor-dredge-and-hoist-and-winch-operators,transportation-and-material-moving-occupations,28,-,25,-,3,-,2021
Industrial truck and tractor operators,industrial-truck-and-tractor-operators,transportation-and-material-moving-occupations,581,743,526,746,55,713,2021
Cleaners of vehicles and equipment,cleaners-of-vehicles-and-equipment,transportation-and-material-moving-occupations,215,590,173,589,42,-,2021
"Laborers and freight, stock, and material movers, hand",laborers-and-freight-stock-and-material-movers-hand,transportation-and-material-moving-occupations,"1,649",689,"1,294",703,355,624,2021
Machine feeders and offbearers,machine-feeders-and-offbearers,transportation-and-material-moving-occupations,16,-,9,-,7,-,2021
"Packers and packagers, hand",packers-and-packagers-hand,transportation-and-material-moving-occupations,541,614,233,633,308,603,2021
Stockers and order fillers,stockers-and-order-fillers,transportation-and-material-moving-occupations,"1,151",612,752,620,400,603,2021
Pumping station operators,pumping-station-operators,transportation-and-material-moving-occupations,15,-,15,-,0,-,2021
Refuse and recyclable material collectors,refuse-and-recyclable-material-collectors,transportation-and-material-moving-occupations,63,728,59,707,3,-,2021
Other material moving workers,other-material-moving-workers,transportation-and-material-moving-occupations,62,777,55,775,8,-,2021
