Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Insurance claims and policy processing clerks,insurance-claims-and-policy-processing-clerks,office-and-administrative-support-occupations,221,760,37,–,184,759,2020
"Mail clerks and mail machine operators, except postal service",mail-clerks-and-mail-machine-operators-except-postal-service,office-and-administrative-support-occupations,35,–,19,–,17,–,2020
"Office clerks, general",office-clerks-general,office-and-administrative-support-occupations,912,736,153,790,759,726,2020
"Office machine operators, except computer",office-machine-operators-except-computer,office-and-administrative-support-occupations,12,–,4,–,9,–,2020
Proofreaders and copy markers,proofreaders-and-copy-markers,office-and-administrative-support-occupations,4,–,2,–,2,–,2020
Statistical assistants,statistical-assistants,office-and-administrative-support-occupations,66,"1,272",39,–,27,–,2020
"Office and administrative support workers, all other",office-and-administrative-support-workers-all-other,office-and-administrative-support-occupations,437,867,107,836,330,875,2020
"Natural resources, construction, and maintenance occupations",natural-resources-construction-and-maintenance-occupations,,"10,690",905,"10,152",917,538,682,2020
"Farming, fishing, and forestry occupations",farming-fishing-and-forestry-occupations,natural-resources-construction-and-maintenance-occupations,787,589,600,608,187,528,2020
"First-line supervisors of farming, fishing, and forestry workers",first-line-supervisors-of-farming-fishing-and-forestry-workers,farming-fishing-and-forestry-occupations,43,–,39,–,5,–,2020
Agricultural inspectors,agricultural-inspectors,farming-fishing-and-forestry-occupations,14,–,6,–,8,–,2020
Animal breeders,animal-breeders,farming-fishing-and-forestry-occupations,0,–,0,–,0,–,2020
"Graders and sorters, agricultural products",graders-and-sorters-agricultural-products,farming-fishing-and-forestry-occupations,41,–,11,–,30,–,2020
Miscellaneous agricultural workers,miscellaneous-agricultural-workers,farming-fishing-and-forestry-occupations,628,574,491,589,137,519,2020
Fishing and hunting workers,fishing-and-hunting-workers,farming-fishing-and-forestry-occupations,14,–,14,–,0,–,2020
Forest and conservation workers,forest-and-conservation-workers,farming-fishing-and-forestry-occupations,17,–,10,–,7,–,2020
Logging workers,logging-workers,farming-fishing-and-forestry-occupations,29,–,29,–,0,–,2020
Construction and extraction occupations,construction-and-extraction-occupations,natural-resources-construction-and-maintenance-occupations,"5,826",906,"5,635",910,191,796,2020
First-line supervisors of construction trades and extraction workers,first-line-supervisors-of-construction-trades-and-extraction-workers,construction-and-extraction-occupations,596,"1,200",579,"1,199",17,–,2020
Boilermakers,boilermakers,construction-and-extraction-occupations,14,–,14,–,0,–,2020
"Brickmasons, blockmasons, and stonemasons",brickmasons-blockmasons-and-stonemasons,construction-and-extraction-occupations,87,749,87,749,0,–,2020
Carpenters,carpenters,construction-and-extraction-occupations,756,892,739,889,17,–,2020
"Carpet, floor, and tile installers and finishers",carpet-floor-and-tile-installers-and-finishers,construction-and-extraction-occupations,117,770,113,785,4,–,2020
"Cement masons, concrete finishers, and terrazzo workers",cement-masons-concrete-finishers-and-terrazzo-workers,construction-and-extraction-occupations,54,782,52,787,2,–,2020
Construction laborers,construction-laborers,construction-and-extraction-occupations,"1,343",783,"1,304",788,39,–,2020
Construction equipment operators,construction-equipment-operators,construction-and-extraction-occupations,328,979,317,980,10,–,2020
"Drywall installers, ceiling tile installers, and tapers",drywall-installers-ceiling-tile-installers-and-tapers,construction-and-extraction-occupations,131,784,123,787,8,–,2020
Electricians,electricians,construction-and-extraction-occupations,735,"1,024",713,"1,035",22,–,2020
Glaziers,glaziers,construction-and-extraction-occupations,43,–,41,–,2,–,2020
Insulation workers,insulation-workers,construction-and-extraction-occupations,49,–,47,–,2,–,2020
Painters and paperhangers,painters-and-paperhangers,construction-and-extraction-occupations,316,691,290,695,26,–,2020
Pipelayers,pipelayers,construction-and-extraction-occupations,41,–,39,–,1,–,2020
"Plumbers, pipefitters, and steamfitters",plumbers-pipefitters-and-steamfitters,construction-and-extraction-occupations,444,"1,002",436,"1,004",8,–,2020
Plasterers and stucco masons,plasterers-and-stucco-masons,construction-and-extraction-occupations,24,–,24,–,0,–,2020
Reinforcing iron and rebar workers,reinforcing-iron-and-rebar-workers,construction-and-extraction-occupations,3,–,3,–,0,–,2020
Roofers,roofers,construction-and-extraction-occupations,146,732,145,729,1,–,2020
Sheet metal workers,sheet-metal-workers,construction-and-extraction-occupations,103,905,99,905,4,–,2020
