Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Wind turbine service technicians,wind-turbine-service-technicians,installation-maintenance-and-repair-occupations,9,-,9,-,0,-,2023
"Coin, vending, and amusement machine servicers and repairers",coin-vending-and-amusement-machine-servicers-and-repairers,installation-maintenance-and-repair-occupations,26,-,21,-,5,-,2023
Commercial divers,commercial-divers,installation-maintenance-and-repair-occupations,1,-,1,-,0,-,2023
Locksmiths and safe repairers,locksmiths-and-safe-repairers,installation-maintenance-and-repair-occupations,23,-,23,-,0,-,2023
Manufactured building and mobile home installers,manufactured-building-and-mobile-home-installers,installation-maintenance-and-repair-occupations,3,-,3,-,0,-,2023
Riggers,riggers,installation-maintenance-and-repair-occupations,15,-,15,-,0,-,2023
"Helpers--installation, maintenance, and repair workers",helpers-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,12,-,12,-,0,-,2023
"Other installation, maintenance, and repair workers",other-installation-maintenance-and-repair-workers,installation-maintenance-and-repair-occupations,124,"1,014",123,"1,018",2,-,2023
"Production, transportation, and material moving occupations",production-transportation-and-material-moving-occupations,,"15,977",869,"12,290",923,"3,688",716,2023
Production occupations,production-occupations,production-transportation-and-material-moving-occupations,"7,313",895,"5,277",966,"2,036",742,2023
First-line supervisors of production and operating workers,first-line-supervisors-of-production-and-operating-workers,production-occupations,714,"1,175",560,"1,263",154,914,2023
"Aircraft structure, surfaces, rigging, and systems assemblers",aircraft-structure-surfaces-rigging-and-systems-assemblers,production-occupations,14,-,8,-,6,-,2023
"Electrical, electronics, and electromechanical assemblers",electrical-electronics-and-electromechanical-assemblers,production-occupations,115,824,61,887,54,782,2023
Engine and other machine assemblers,engine-and-other-machine-assemblers,production-occupations,12,-,11,-,2,-,2023
Structural metal fabricators and fitters,structural-metal-fabricators-and-fitters,production-occupations,18,-,18,-,0,-,2023
Other assemblers and fabricators,other-assemblers-and-fabricators,production-occupations,961,812,607,852,355,758,2023
Bakers,bakers,production-occupations,139,670,58,726,81,656,2023
"Butchers and other meat, poultry, and fish processing workers",butchers-and-other-meat-poultry-and-fish-processing-workers,production-occupations,231,767,161,818,69,696,2023
"Food and tobacco roasting, baking, and drying machine operators and tenders",food-and-tobacco-roasting-baking-and-drying-machine-operators-and-tenders,production-occupations,2,-,1,-,1,-,2023
Food batchmakers,food-batchmakers,production-occupations,57,810,27,-,30,-,2023
Food cooking machine operators and tenders,food-cooking-machine-operators-and-tenders,production-occupations,8,-,6,-,3,-,2023
"Food processing workers, all other",food-processing-workers-all-other,production-occupations,137,927,102,970,35,-,2023
Computer numerically controlled tool operators and programmers,computer-numerically-controlled-tool-operators-and-programmers,production-occupations,107,"1,055",96,"1,087",11,-,2023
"Forming machine setters, operators, and tenders, metal and plastic",forming-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,28,-,20,-,8,-,2023
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,68,780,66,788,2,-,2023
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",grinding-lapping-polishing-and-buffing-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,35,-,30,-,5,-,2023
"Other machine tool setters, operators, and tenders, metal and plastic",other-machine-tool-setters-operators-and-tenders-metal-and-plastic,production-occupations,8,-,6,-,2,-,2023
Machinists,machinists,production-occupations,284,"1,023",263,"1,049",21,-,2023
"Metal furnace operators, tenders, pourers, and casters",metal-furnace-operators-tenders-pourers-and-casters,production-occupations,15,-,13,-,2,-,2023
"Model makers and patternmakers, metal and plastic",model-makers-and-patternmakers-metal-and-plastic,production-occupations,5,-,5,-,0,-,2023
"Molders and molding machine setters, operators, and tenders, metal and plastic",molders-and-molding-machine-setters-operators-and-tenders-metal-and-plastic,production-occupations,29,-,27,-,2,-,2023
Tool and die makers,tool-and-die-makers,production-occupations,31,-,31,-,0,-,2023
"Welding, soldering, and brazing workers",welding-soldering-and-brazing-workers,production-occupations,498,"1,012",465,"1,019",33,-,2023
Other metal workers and plastic workers,other-metal-workers-and-plastic-workers,production-occupations,347,855,278,906,69,684,2023
Prepress technicians and workers,prepress-technicians-and-workers,production-occupations,9,-,9,-,0,-,2023
Printing press operators,printing-press-operators,production-occupations,117,869,94,914,24,-,2023
Print binding and finishing workers,print-binding-and-finishing-workers,production-occupations,11,-,11,-,0,-,2023
Laundry and dry-cleaning workers,laundry-and-dry-cleaning-workers,production-occupations,92,665,24,-,69,636,2023
"Pressers, textile, garment, and related materials",pressers-textile-garment-and-related-materials,production-occupations,16,-,10,-,6,-,2023
Sewing machine operators,sewing-machine-operators,production-occupations,103,673,31,-,71,655,2023
Shoe and leather workers,shoe-and-leather-workers,production-occupations,6,-,3,-,3,-,2023
"Tailors, dressmakers, and sewers",tailors-dressmakers-and-sewers,production-occupations,32,-,5,-,27,-,2023
"Textile machine setters, operators, and tenders",textile-machine-setters-operators-and-tenders,production-occupations,17,-,7,-,10,-,2023
Upholsterers,upholsterers,production-occupations,15,-,10,-,5,-,2023
"Other textile, apparel, and furnishings workers",other-textile-apparel-and-furnishings-workers,production-occupations,9,-,4,-,6,-,2023
Cabinetmakers and bench carpenters,cabinetmakers-and-bench-carpenters,production-occupations,33,-,32,-,2,-,2023
Furniture finishers,furniture-finishers,production-occupations,7,-,4,-,2,-,2023
"Sawing machine setters, operators, and tenders, wood",sawing-machine-setters-operators-and-tenders-wood,production-occupations,16,-,14,-,2,-,2023
"Woodworking machine setters, operators, and tenders, except sawing",woodworking-machine-setters-operators-and-tenders-except-sawing,production-occupations,28,-,25,-,4,-,2023
Other woodworkers,other-woodworkers,production-occupations,15,-,12,-,3,-,2023
"Power plant operators, distributors, and dispatchers",power-plant-operators-distributors-and-dispatchers,production-occupations,41,-,40,-,1,-,2023
Stationary engineers and boiler operators,stationary-engineers-and-boiler-operators,production-occupations,72,"1,328",70,"1,337",2,-,2023
Water and wastewater treatment plant and system operators,water-and-wastewater-treatment-plant-and-system-operators,production-occupations,89,961,81,965,7,-,2023
Miscellaneous plant and system operators,miscellaneous-plant-and-system-operators,production-occupations,34,-,33,-,1,-,2023
"Chemical processing machine setters, operators, and tenders",chemical-processing-machine-setters-operators-and-tenders,production-occupations,41,-,37,-,4,-,2023
"Crushing, grinding, polishing, mixing, and blending workers",crushing-grinding-polishing-mixing-and-blending-workers,production-occupations,94,994,77,"1,020",17,-,2023
Cutting workers,cutting-workers,production-occupations,50,826,35,-,15,-,2023
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",extruding-forming-pressing-and-compacting-machine-setters-operators-and-tenders,production-occupations,14,-,12,-,1,-,2023
"Furnace, kiln, oven, drier, and kettle operators and tenders",furnace-kiln-oven-drier-and-kettle-operators-and-tenders,production-occupations,8,-,8,-,0,-,2023
"Inspectors, testers, sorters, samplers, and weighers",inspectors-testers-sorters-samplers-and-weighers,production-occupations,718,921,436,"1,010",282,809,2023
Jewelers and precious stone and metal workers,jewelers-and-precious-stone-and-metal-workers,production-occupations,33,-,25,-,8,-,2023
Dental and ophthalmic laboratory technicians and medical appliance technicians,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,production-occupations,56,722,30,-,26,-,2023
Packaging and filling machine operators and tenders,packaging-and-filling-machine-operators-and-tenders,production-occupations,264,716,117,752,147,698,2023
Painting workers,painting-workers,production-occupations,126,816,114,824,12,-,2023
Photographic process workers and processing machine operators,photographic-process-workers-and-processing-machine-operators,production-occupations,18,-,9,-,9,-,2023
Adhesive bonding machine operators and tenders,adhesive-bonding-machine-operators-and-tenders,production-occupations,10,-,7,-,3,-,2023
Etchers and engravers,etchers-and-engravers,production-occupations,5,-,3,-,2,-,2023
"Molders, shapers, and casters, except metal and plastic",molders-shapers-and-casters-except-metal-and-plastic,production-occupations,17,-,16,-,1,-,2023
"Paper goods machine setters, operators, and tenders",paper-goods-machine-setters-operators-and-tenders,production-occupations,15,-,8,-,6,-,2023
Tire builders,tire-builders,production-occupations,10,-,9,-,1,-,2023
Helpers--production workers,helpers-production-workers,production-occupations,39,-,29,-,10,-,2023
Other production equipment operators and tenders,other-production-equipment-operators-and-tenders,production-occupations,7,-,3,-,4,-,2023
Other production workers,other-production-workers,production-occupations,"1,162",856,862,893,301,771,2023
Transportation and material moving occupations,transportation-and-material-moving-occupations,production-transportation-and-material-moving-occupations,"8,664",841,"7,013",897,"1,651",694,2023
Supervisors of transportation and material moving workers,supervisors-of-transportation-and-material-moving-workers,transportation-and-material-moving-occupations,313,"1,016",235,"1,127",78,791,2023
Aircraft pilots and flight engineers,aircraft-pilots-and-flight-engineers,transportation-and-material-moving-occupations,173,"2,015",158,"2,005",15,-,2023
Air traffic controllers and airfield operations specialists,air-traffic-controllers-and-airfield-operations-specialists,transportation-and-material-moving-occupations,38,-,34,-,3,-,2023
Flight attendants,flight-attendants,transportation-and-material-moving-occupations,74,961,19,-,55,815,2023
"Ambulance drivers and attendants, except emergency medical technicians",ambulance-drivers-and-attendants-except-emergency-medical-technicians,transportation-and-material-moving-occupations,13,-,9,-,4,-,2023
"Bus drivers, school",bus-drivers-school,transportation-and-material-moving-occupations,115,660,46,-,69,650,2023
"Bus drivers, transit and intercity",bus-drivers-transit-and-intercity,transportation-and-material-moving-occupations,224,911,150,979,74,811,2023
Driver/sales workers and truck drivers,driver-sales-workers-and-truck-drivers,transportation-and-material-moving-occupations,"2,709","1,005","2,560","1,016",149,734,2023
Shuttle drivers and chauffeurs,shuttle-drivers-and-chauffeurs,transportation-and-material-moving-occupations,47,-,44,-,3,-,2023
Taxi drivers,taxi-drivers,transportation-and-material-moving-occupations,218,865,190,925,29,-,2023
"Motor vehicle operators, all other",motor-vehicle-operators-all-other,transportation-and-material-moving-occupations,114,813,95,865,19,-,2023
Locomotive engineers and operators,locomotive-engineers-and-operators,transportation-and-material-moving-occupations,45,-,43,-,1,-,2023
Railroad conductors and yardmasters,railroad-conductors-and-yardmasters,transportation-and-material-moving-occupations,53,"1,642",50,"1,656",3,-,2023
Other rail transportation workers,other-rail-transportation-workers,transportation-and-material-moving-occupations,27,-,24,-,2,-,2023
Sailors and marine oilers,sailors-and-marine-oilers,transportation-and-material-moving-occupations,16,-,12,-,3,-,2023
Ship and boat captains and operators,ship-and-boat-captains-and-operators,transportation-and-material-moving-occupations,27,-,27,-,0,-,2023
Ship engineers,ship-engineers,transportation-and-material-moving-occupations,3,-,3,-,0,-,2023
Parking attendants,parking-attendants,transportation-and-material-moving-occupations,41,-,37,-,4,-,2023
Transportation service attendants,transportation-service-attendants,transportation-and-material-moving-occupations,44,-,38,-,7,-,2023
Transportation inspectors,transportation-inspectors,transportation-and-material-moving-occupations,35,-,32,-,4,-,2023
Passenger attendants,passenger-attendants,transportation-and-material-moving-occupations,25,-,9,-,16,-,2023
Other transportation workers,other-transportation-workers,transportation-and-material-moving-occupations,29,-,24,-,5,-,2023
Crane and tower operators,crane-and-tower-operators,transportation-and-material-moving-occupations,55,"1,316",54,"1,326",1,-,2023
"Conveyor, dredge, and hoist and winch operators",conveyor-dredge-and-hoist-and-winch-operators,transportation-and-material-moving-occupations,21,-,19,-,2,-,2023
Industrial truck and tractor operators,industrial-truck-and-tractor-operators,transportation-and-material-moving-occupations,583,809,526,812,57,786,2023
Cleaners of vehicles and equipment,cleaners-of-vehicles-and-equipment,transportation-and-material-moving-occupations,299,694,242,704,57,605,2023
"Laborers and freight, stock, and material movers, hand",laborers-and-freight-stock-and-material-movers-hand,transportation-and-material-moving-occupations,"1,584",765,"1,235",801,349,685,2023
Machine feeders and offbearers,machine-feeders-and-offbearers,transportation-and-material-moving-occupations,29,-,13,-,16,-,2023
"Packers and packagers, hand",packers-and-packagers-hand,transportation-and-material-moving-occupations,484,698,229,732,255,667,2023
Stockers and order fillers,stockers-and-order-fillers,transportation-and-material-moving-occupations,"1,084",706,729,730,355,667,2023
Pumping station operators,pumping-station-operators,transportation-and-material-moving-occupations,18,-,17,-,1,-,2023
Refuse and recyclable material collectors,refuse-and-recyclable-material-collectors,transportation-and-material-moving-occupations,74,762,69,789,5,-,2023
Other material moving workers,other-material-moving-workers,transportation-and-material-moving-occupations,50,889,38,-,11,-,2023
